Freq,f_O,f_X,Flux,a_O,a_X,e_O,e_X,rc,Q,V
15.381948,168.89494,321.78931,490.68425,5.0934222e-09,1.0139456e-07,2.9190054e-17,4.4187950e-16,0.31159420,1.0151058e-18,-1.5255702e-17
15.740239,158.43102,394.83560,553.26662,3.4695233e-09,6.5839696e-08,2.5392432e-17,3.5253749e-16,0.42728870,1.5316261e-18,-2.3590790e-17
16.106876,143.70754,419.99375,563.70130,2.5618350e-09,5.1815693e-08,2.2060866e-17,2.9638200e-16,0.49012875,1.7468752e-18,-2.7573341e-17
16.482053,128.73981,417.17138,545.91119,2.0540616e-09,4.5423161e-08,1.9286501e-17,2.5938315e-16,0.52834889,1.7798304e-18,-2.8788190e-17
16.865969,115.60659,421.36125,536.96785,1.7345475e-09,3.9621498e-08,1.7053124e-17,2.3047654e-16,0.56940963,1.8414850e-18,-3.0519962e-17
17.258827,104.88623,448.86434,553.75057,1.4678029e-09,3.2086419e-08,1.5272216e-17,2.0325991e-16,0.62117878,2.0221344e-18,-3.4338322e-17
17.660836,96.291106,496.35792,592.64903,1.2030837e-09,2.3792542e-08,1.3840422e-17,1.7625719e-16,0.67504846,2.2957236e-18,-3.9940759e-17
18.072212,89.207553,540.83482,630.04237,9.5665116e-10,1.6762823e-08,1.2668053e-17,1.5102821e-16,0.71682046,2.5298665e-18,-4.5091813e-17
18.493168,82.949036,556.41964,639.36867,7.5730824e-10,1.1984332e-08,1.1664140e-17,1.2931646e-16,0.74052831,2.5891811e-18,-4.7276212e-17
18.923929,76.855629,541.86532,618.72095,6.0675390e-10,9.0423488e-09,1.0727165e-17,1.1149303e-16,0.75156610,2.4825838e-18,-4.6434652e-17
19.364723,70.565411,511.66443,582.22984,4.9161710e-10,7.1470811e-09,9.7931834e-18,9.6979110e-17,0.75760290,2.2991647e-18,-4.4049940e-17
19.815785,64.281240,477.25776,541.53900,4.0139359e-10,5.7497772e-09,8.8812003e-18,8.4984993e-17,0.76259793,2.1016970e-18,-4.1244138e-17
20.277353,58.471240,443.08789,501.55913,3.2930805e-10,4.5883460e-09,8.0495932e-18,7.4820735e-17,0.76684208,1.9111790e-18,-3.8414152e-17
20.749676,53.439702,409.34817,462.78787,2.7126893e-10,3.6076626e-09,7.3357017e-18,6.6035890e-17,0.76905314,1.7268597e-18,-3.5548928e-17
21.232998,49.240452,375.61878,424.85924,2.2499907e-10,2.8242204e-09,6.7437131e-18,5.8389197e-17,0.76820345,1.5463285e-18,-3.2601181e-17
21.727577,45.695448,342.35134,388.04679,1.8818826e-10,2.2280271e-09,6.2467396e-18,5.1719645e-17,0.76448486,1.3724943e-18,-2.9633823e-17
22.233677,42.508712,310.43328,352.94199,1.5811535e-10,1.7769093e-09,5.8023948e-18,4.5886251e-17,0.75911785,1.2104921e-18,-2.6765097e-17
22.751565,39.446470,280.60716,320.05363,1.3269426e-10,1.4280630e-09,5.3775790e-18,4.0779340e-17,0.75350088,1.0640496e-18,-2.4092584e-17
23.281517,36.473930,253.34544,289.81937,1.1102971e-10,1.1520144e-09,4.9669723e-18,3.6323614e-17,0.74829888,9.3449532e-19,-2.1667008e-17
23.823816,33.716700,228.81052,262.52722,9.2994496e-11,9.3167019e-10,4.5873647e-18,3.2452661e-17,0.74313749,8.2101325e-19,-1.9492099e-17
24.378743,31.276735,206.84718,238.12392,7.8359906e-11,7.5599438e-10,4.2522842e-18,2.9084581e-17,0.73730707,7.2160965e-19,-1.7542209e-17
24.946597,29.143344,187.13060,216.27395,6.6515176e-11,6.1578425e-10,3.9598922e-18,2.6130529e-17,0.73049602,6.3420386e-19,-1.5785991e-17
25.527677,27.230121,169.34659,196.57671,5.6711436e-11,5.0320124e-10,3.6981190e-18,2.3515702e-17,0.72295680,5.5720914e-19,-1.4200719e-17
26.122292,25.448360,153.29302,178.74138,4.8361397e-11,4.1226324e-10,3.4546969e-18,2.1190648e-17,0.71524938,4.8959165e-19,-1.2775088e-17
26.730758,23.765736,138.87116,162.63690,4.1183608e-11,3.3866798e-10,3.2251185e-18,1.9126954e-17,0.70774484,4.3056118e-19,-1.1502487e-17
27.353397,22.206591,125.99480,148.20139,3.5106951e-11,2.7911679e-10,3.0126205e-18,1.7302143e-17,0.70031873,3.7921406e-19,-1.0371891e-17
27.990543,20.795017,114.51190,135.30692,3.0047443e-11,2.3079711e-10,2.8204085e-18,1.5687477e-17,0.69262448,3.3447272e-19,-9.3657178e-18
35.238007,10.729429,47.505983,58.235412,7.0576462e-12,3.9109291e-11,1.5598896e-18,6.4461098e-18,0.63151530,1.0389658e-19,-3.6761875e-18
44.362025,6.4707727,20.935922,27.406695,1.9221808e-12,8.0515490e-12,9.4074816e-19,3.0437525e-18,0.52779621,3.2389256e-20,-1.4461523e-18
55.848484,4.1327384,10.918527,15.051265,5.8949853e-13,1.9440233e-12,6.0083490e-19,1.5873814e-18,0.45084505,1.2052534e-20,-6.7847181e-19
70.309060,2.7318300,6.0655815,8.7974115,1.9728096e-13,5.3208732e-13,3.9716494e-19,8.8183976e-19,0.37894686,4.6992978e-21,-3.3334203e-19
88.513868,1.8462152,3.5012568,5.3474720,6.9956827e-14,1.5859759e-13,2.6841053e-19,5.0902745e-19,0.30949982,1.8521224e-21,-1.6549380e-19
111.43236,1.2608456,2.0670444,3.3278900,2.5648519e-14,4.9641543e-14,1.8330704e-19,3.0051562e-19,0.24225525,7.1639341e-22,-8.0616699e-20
140.28504,0.86724323,1.2416630,2.1089062,9.5968023e-15,1.5940158e-14,1.2608347e-19,1.8051818e-19,0.17754214,2.6422349e-22,-3.7441040e-20
176.60841,0.60008105,0.76235606,1.3624371,3.6656440e-15,5.2733124e-15,8.7242308e-20,1.1083453e-19,0.11910643,9.0949572e-23,-1.6227247e-20
222.33677,0.41402492,0.47706390,0.89108882,1.4081493e-15,1.7788746e-15,6.0192686e-20,6.9357557e-20,0.070743758,2.8061522e-23,-6.3038348e-21
279.90543,0.28536430,0.30642916,0.59179346,5.4333530e-16,6.1797348e-16,4.1487463e-20,4.4549961e-20,0.035594952,7.4475006e-24,-2.1064728e-21
352.38017,0.19348914,0.19922508,0.39271422,2.0614129e-16,2.1854627e-16,2.8130265e-20,2.8964180e-20,0.014605882,1.6104626e-24,-5.7359149e-22
443.62025,0.13069881,0.13188522,0.26258403,7.7692267e-17,7.9275661e-17,1.9001543e-20,1.9174028e-20,0.0045182088,2.6433750e-25,-1.1864065e-22
558.48469,0.087586507,0.087756815,0.17534332,2.8953669e-17,2.9095193e-17,1.2733695e-20,1.2758455e-20,0.00097127884,2.9956082e-26,-1.7030699e-23
703.09080,0.059437112,0.059452219,0.11888933,1.0950321e-17,1.0958190e-17,8.6412175e-21,8.6434138e-21,0.00012707096,1.9755805e-27,-1.5107368e-24
885.13868,0.039916911,0.039917625,0.079834536,4.0744632e-18,4.0746970e-18,5.8032885e-21,5.8033923e-21,8.9437075e-06,-2.1464096e-29,-7.1401743e-26
1114.3239,0.027011518,0.027011533,0.054023051,1.5414605e-18,1.5414637e-18,3.9270481e-21,3.9270503e-21,2.8184149e-07,-6.7192472e-29,-1.5226540e-27
1402.8504,0.018261255,0.018261255,0.036522510,5.8537007e-19,5.8537007e-19,2.6548981e-21,2.6548981e-21,0.0000000,-4.6339927e-29,-3.2689652e-32
1766.0836,0.012321623,0.012321623,0.024643246,2.2315168e-19,2.2315168e-19,1.7913694e-21,1.7913694e-21,0.0000000,-3.1267469e-29,-1.7520884e-32
2223.3683,0.0082413506,0.0082413506,0.016482701,8.4694202e-20,8.4694202e-20,1.1981622e-21,1.1981622e-21,0.0000000,-2.0913333e-29,-9.3085987e-33
2799.0543,0.0054444074,0.0054444074,0.010888815,3.1987875e-20,3.1987875e-20,7.9153085e-22,7.9153085e-22,0.0000000,-1.3815783e-29,-4.8847903e-33
3523.8017,0.0035368582,0.0035368582,0.0070737163,1.1964485e-20,1.1964485e-20,5.1420332e-22,5.1420332e-22,0.0000000,-8.9751675e-30,-2.5205890e-33
4436.2025,0.0022300479,0.0022300479,0.0044600958,4.3728034e-21,4.3728034e-21,3.2421375e-22,3.2421375e-22,0.0000000,-5.6589924e-30,-1.2623869e-33
5584.8469,0.0013726618,0.0013726618,0.0027453237,1.5806910e-21,1.5806910e-21,1.9956335e-22,1.9956335e-22,0.0000000,-3.4832808e-30,-6.1725208e-34
7030.9080,0.00078567483,0.00078567483,0.0015713497,5.3239004e-22,5.3239004e-22,1.1422471e-22,1.1422471e-22,0.0000000,-1.9937366e-30,-2.8062577e-34
8851.3868,0.00043785006,0.00043785006,0.00087570013,1.7780196e-22,1.7780196e-22,6.3656485e-23,6.3656485e-23,0.0000000,-1.1110929e-30,-1.2421449e-34
11143.239,0.00021342718,0.00021342718,0.00042685436,5.2042805e-23,5.2042805e-23,3.1028942e-23,3.1028942e-23,0.0000000,-5.4159502e-31,-4.8098290e-35
14028.504,9.6963862e-05,9.6963862e-05,0.00019392772,1.4412477e-23,1.4412477e-23,1.4097014e-23,1.4097014e-23,0.0000000,-2.4605650e-31,-1.7359113e-35
17660.836,3.5638384e-05,3.5638384e-05,7.1276768e-05,3.2496663e-24,3.2496663e-24,5.1812582e-24,5.1812582e-24,0.0000000,-9.0436335e-32,-5.0671153e-36
22233.683,1.1281758e-05,1.1281758e-05,2.2563515e-05,6.3543978e-25,6.3543978e-25,1.6401894e-24,1.6401894e-24,0.0000000,-2.8628706e-32,-1.2741257e-36
27990.543,2.6405306e-06,2.6405306e-06,5.2810611e-06,9.2709032e-26,9.2709032e-26,3.8389145e-25,3.8389145e-25,0.0000000,-6.7006379e-33,-2.3693558e-37
